"Freq [GHz]","dB(S(Beam1_1_p1,Beam1_1_p1)) []","ang_rad(S(Beam1_1_p1,Beam1_1_p1)) [rad]"
2.51,-36.6831486125959,2.95375151847119
2.52,-36.7016053770324,2.75342303055121
2.53,-36.720141606373,2.55309831674304
2.54,-36.73875732666,2.35277742662406
2.55,-36.7574525744875,2.15246041057446
2.56,-36.7762273750841,1.95214731752685
2.57,-36.7950817608845,1.75183819746088
2.58,-36.8140157651788,1.55153310001687
2.59,-36.8330294087956,1.35123207480601
2.6,-36.8521227227387,1.15093517179624
2.61,-36.8712957444281,0.950642440247841
2.62,-36.8905484930795,0.750353930337686
2.63,-36.9098810026704,0.550069691928019
2.64,-36.9292932948716,0.34978977436411
2.65,-36.94878539629,0.149514227764466
2.66,-36.9683573408463,-0.0507568978074617
2.67,-36.9880091468322,-0.251023552364342
2.68,-37.0077408474421,-0.451285686107926
2.69,-37.0275524614385,-0.65154324870651
2.7,-37.0474440170646,-0.851796190116643
2.71,-37.0674155344123,-1.05204446000053
2.72,-37.0874670390012,-1.25228800803691
2.73,-37.1075985530953,-1.45252678383481
2.74,-37.127810096629,-1.65276073682439
2.75,-37.148101693508,-1.85298981637754
2.76,-37.1684733649141,-2.05321397186364
2.77,-37.1889251268085,-2.25343315198127
2.78,-37.2094570046817,-2.45364730684113
2.79,-37.2300690158564,-2.6538563842706
2.8,-37.2507611727649,-2.85406033388744
2.81,-37.2715334956744,-3.05425910400938
2.82,-37.2923859988009,3.02873266383512
2.83,-37.3133186965887,2.82854440703723
2.84,-37.3343316096467,2.62836148431794
2.85,-37.3554247493452,2.42818394719434
2.86,-37.3765981208953,2.2280118482247
2.87,-37.3978517479307,2.02784523967904
2.88,-37.4191856292471,1.82768417299491
2.89,-37.440599778504,1.62752870124726
2.9,-37.4620942127527,1.42737887691484
2.91,-37.4836689248796,1.22723475286054
2.92,-37.5053239334265,1.02709638181969
2.93,-37.5270592374612,0.826963817172182
2.94,-37.5488748408986,0.626837111948874
2.95,-37.5707707550445,0.426716320219352
2.96,-37.5927469713811,0.226601494960632
2.97,-37.6148034953363,0.026492690368824
2.98,-37.6369403266126,-0.17361003950879
2.99,-37.6591574597488,-0.373706640335344
3,-37.6814548946582,-0.573797057623926
3.01,-37.7038326295113,-0.773881237010135
3.02,-37.7262906555474,-0.973959123112564
3.03,-37.7488289615686,-1.1740306613992
3.04,-37.7714475472585,-1.37409579596738
3.05,-37.794146396257,-1.57415447160403
3.06,-37.8169255016812,-1.77420663256322
3.07,-37.8397848438049,-1.97425222278853
3.08,-37.8627244105323,-2.17429118592818
3.09,-37.8857441873414,-2.37432346558294
3.1,-37.9088441584203,-2.57434900494637
3.11,-37.9320242958416,-2.77436774764534
3.12,-37.9552845870515,-2.97437963584315
3.13,-37.9786250002408,3.10880069478158
3.14,-38.0020455253829,2.90880268757125
3.15,-38.0255461185412,2.7088117078316
3.16,-38.0491267602004,2.50882781367858
3.17,-38.07278741886,2.30885106342647
3.18,-38.0965280611284,2.1088815158491
3.19,-38.1203486522914,1.90891923009857
3.2,-38.1442491609984,1.70896426547206
3.21,-38.1682295386762,1.5090166812595
3.22,-38.1922897581235,1.30907653742629
3.23,-38.2164297635006,1.10914389420314
3.24,-38.2406495202277,0.909218811594883
3.25,-38.2649489753893,0.709301350641314
3.26,-38.2893280800515,0.509391572127199
3.27,-38.3137867848059,0.309489537398946
3.28,-38.3383250382905,0.109595308100411
3.29,-38.3629427782416,-0.0902910542836461
3.3,-38.3876399456728,-0.290169487280265
