"Freq [GHz]","dB(S(p1,p1)) []","ang_rad(S(p1,p1)) [rad]"
3.42,-22.924258038531,-2.70514704470188
3.422,-22.9122181893126,-2.72225384289208
3.424,-22.9012717276307,-2.73933843515556
3.426,-22.8914138778823,-2.75640067952931
3.428,-22.8826400585954,-2.77344040062281
3.43,-22.8749458596398,-2.79045739129248
3.432,-22.8683270207958,-2.80745141439324
3.434,-22.8627794116916,-2.82442220460297
3.436,-22.8582990131235,-2.84136947031575
3.438,-22.8548818997729,-2.85829289559929
3.44,-22.8525242243313,-2.8751921422117
3.442,-22.8512222030482,-2.89206685167272
3.444,-22.8509721027117,-2.90891664738427
3.446,-22.8517702290756,-2.92574113679488
3.448,-22.853612916741,-2.94253991360262
3.45,-22.8564965205034,-2.9593125599907
3.452,-22.8604174081718,-2.97605864889021
3.454,-22.865371954868,-2.99277774626385
3.456,-22.8713565388096,-3.00946941340485
3.458,-22.8783675385812,-3.02613320924498
3.46,-22.8864013318953,-3.0427686926656
3.462,-22.8954542958443,-3.05937542480556
3.464,-22.905522808641,-3.07595297136005
3.466,-22.9166032528457,-3.09250090486408
3.468,-22.9286920200768,-3.10901880695477
3.47,-22.9417855171969,-3.12550627060641
3.472,-22.9558801739699,3.14122240484714
3.474,-22.9709724521807,3.12479698283098
3.476,-22.9870588562081,3.10840313048803
3.478,-23.0041359450411,3.09204118789199
3.48,-23.0222003457305,3.07571147321359
3.482,-23.0412487682625,3.05941428076768
3.484,-23.061278021846,3.04314987912595
3.486,-23.0822850326023,3.02691850929993
3.488,-23.1042668626475,3.01072038299904
3.49,-23.1272207305588,2.99455568096814
3.492,-23.1511440332163,2.97842455140892
3.494,-23.176034369014,2.96232710848915
3.496,-23.2018895624355,2.946263430944
3.498,-23.2287076899914,2.93023356077295
3.5,-23.2564871075177,2.91423750203624
3.502,-23.2852264788391,2.89827521975433
3.504,-23.3149248058018,2.8823466389139
3.506,-23.3455814596862,2.86645164358374
3.508,-23.3771962140123,2.85059007614414
3.51,-23.4097692787555,2.83476173663285
3.512,-23.4433013359969,2.81896638221147
3.514,-23.4777935770337,2.80320372675542
3.516,-23.5132477409851,2.78747344057142
3.518,-23.5496661549327,2.77177515024616
3.52,-23.5870517756415,2.75610843863038
3.522,-23.6254082329143,2.7404728449627
3.524,-23.6647398746414,2.72486786513782
3.526,-23.7050518136126,2.70929295212458
3.528,-23.7463499761701,2.69374751653929
3.53,-23.7886411527873,2.67823092738085
3.532,-23.8319330506705,2.66274251293453
3.534,-23.8762343484883,2.64728156185235
3.536,-23.9215547533467,2.63184732441862
3.538,-23.9679050601366,2.61643901401049
3.54,-24.0152972133967,2.60105580876431
3.542,-24.0637443718432,2.58569685345992
3.544,-24.113260975735,2.57036126163668
3.546,-24.163862817256,2.55504811795617
3.548,-24.2155671141132,2.53975648082882
3.55,-24.2683925865638,2.52448538532336
3.552,-24.3223595381059,2.5092338463804
3.554,-24.3774899400822,2.49400086235386
3.556,-24.4338075204714,2.4787854189067
3.558,-24.4913378571588,2.46358649329065
3.56,-24.5501084760065,2.44840305904269
