"Freq [GHz]","dB(S(Antenna1_1_1,Antenna1_1_1)) []","ang_rad(S(Antenna1_1_1,Antenna1_1_1)) [rad]"
3.625,-8.42946483183675,2.76967461837149
3.63,-8.43244357626841,2.74691532773269
3.635,-8.43106040105373,2.72436760362954
3.64,-8.42528492064039,2.70197235537421
3.645,-8.41515920107361,2.67967058686685
3.65,-8.40079650599085,2.65740465325908
3.655,-8.38237817700337,2.63511947630833
3.66,-8.36014875954472,2.61276366990231
3.665,-8.33440960515989,2.59029054026522
3.67,-8.3055112203123,2.56765893310054
3.675,-8.27384466545887,2.54483390863211
3.68,-8.23983234607308,2.52178722807322
3.685,-8.20391852043629,2.4984976539749
3.69,-8.16655983265348,2.47495107003115
3.695,-8.12821613216362,2.4511404300904
3.7,-8.08934180184905,2.42706555746062
3.705,-8.05037779495554,2.40273281215812
3.71,-8.01174442709981,2.37815464960285
3.715,-7.97383509561249,2.35334909393579
3.72,-7.93701086102081,2.32833914278127
3.725,-7.90159595904571,2.30315212675314
3.73,-7.8678741766285,2.27781903739889
3.735,-7.83608605545873,2.25237383669126
3.74,-7.8064268967029,2.22685276092857
3.745,-7.77904547496811,2.20129362448647
3.75,-7.75404344685037,2.1757351322913
3.755,-7.73147537651879,2.15021620491431
3.76,-7.71134937391341,2.12477531784152
3.765,-7.69362830276054,2.09944986222537
3.77,-7.67823153898839,2.07427552526271
3.775,-7.66503727619313,2.04928569751939
3.78,-7.65388538432343,2.0245109099244
3.785,-7.64458079723602,1.99997830463665
3.79,-7.63689744068654,1.97571114717248
3.795,-7.63058269097746,1.95172838910122
3.8,-7.62536233537622,1.92804428634371
3.805,-7.6209459989248,1.90466808552337
3.81,-7.61703299512075,1.88160378894551
3.815,-7.61331851485091,1.85885000487514
3.82,-7.60950003622492,1.83639989585534
3.825,-7.60528388301125,1.81424123021584
3.83,-7.60039173152824,1.79235654367855
3.835,-7.59456694521448,1.77072341021924
3.84,-7.58758055282778,1.74931482548868
3.845,-7.57923670870043,1.72809968958315
3.85,-7.56937745139666,1.70704338635892
3.855,-7.55788665260459,1.68610844040519
3.86,-7.54469298562012,1.66525523199225
3.865,-7.52977189738734,1.64444275549853
3.87,-7.51314646278744,1.62362939045108
3.875,-7.49488720670904,1.6027736672814
3.88,-7.47511086250015,1.58183500210047
3.885,-7.45397822918073,1.56077438206352
3.89,-7.43169117898915,1.53955497957717
3.895,-7.40848903138866,1.51814268658419
3.9,-7.38464442241784,1.49650655433813
3.905,-7.36045884860273,1.47461913851474
3.91,-7.33625808133433,1.45245674455768
3.915,-7.31238759762018,1.42999958067027
3.92,-7.28920816446489,1.40723182345347
3.925,-7.26709172548061,1.38414160747446
3.93,-7.24641767119946,1.36072094798174
3.935,-7.22756955443387,1.33696561391971
3.94,-7.21093232323298,1.31287495943342
3.945,-7.19689005225734,1.28845173118827
3.95,-7.18582423212728,1.26370186243153
3.955,-7.17811253034666,1.23863426403465
3.96,-7.17412805828728,1.21326062516584
3.965,-7.17423905636446,1.18759523099778
3.97,-7.17880897507159,1.1616548041026
3.975,-7.18819691080812,1.13545837959289
3.98,-7.20275830791787,1.10902721378523
3.985,-7.22284591130685,1.08238473707909
3.99,-7.24881090771562,1.05555654781725
3.995,-7.28100419749504,1.02857045790181
4,-7.31977775499937,1.00145658618239
