"Freq [GHz]","dB(S(1,1)) []","ang_rad(S(1,1)) [rad]"
6.425,-15.002040223082,0.907307623345698
6.46,-15.5673695796969,0.775635695704819
6.495,-16.1890538153508,0.636000735852462
6.53,-16.8665086155053,0.486403029644004
6.565,-17.5951181376137,0.324292020740486
6.6,-18.3629346692716,0.146514554606141
6.635,-19.1455349078804,-0.0505560239975757
6.67,-19.8992587043032,-0.270443082459223
6.705,-20.5557088954004,-0.515158360856052
6.74,-21.0256328353727,-0.782845610570103
6.775,-21.2228636166756,-1.06559614607069
6.81,-21.10473983551,-1.35008663050543
6.845,-20.6976871313789,-1.62226265053258
6.88,-20.0809111411936,-1.8726525188573
6.915,-19.3459396407867,-2.09805202798168
6.95,-18.5672087221144,-2.29976610859363
6.985,-17.7940702667398,-2.48111935927848
7.02,-17.0549609519329,-2.64579623579914
7.055,-16.3642856276636,-2.79709504840864
7.09,-15.7280407944792,-2.93771911547316
7.125,-15.1475333775625,-3.06980008965011
7.16,-14.62161719365,3.08819093502923
7.195,-14.1479734329533,2.96859878604001
7.23,-13.7238217769295,2.85360751434366
7.265,-13.3463049919767,2.74242951629929
7.3,-13.0126899537818,2.63443803907314
7.335,-12.7204668862799,2.52912776676425
7.37,-12.4673930423399,2.4260855339554
7.405,-12.2515068369215,2.32496853292012
7.44,-12.0711270447726,2.22548801597286
7.475,-11.9248452639454,2.1273970178863
7.51,-11.8115162465633,2.03048102137487
7.545,-11.7302486872968,1.93455078029048
7.58,-11.6803979539685,1.83943672482169
7.615,-11.6615616608682,1.74498452196114
7.65,-11.6735787101272,1.65105146918167
7.685,-11.7165323424046,1.55750347140549
7.72,-11.7907577837336,1.4642123989802
7.755,-11.896855223631,1.37105365253158
7.79,-12.0357091069022,1.27790377182181
7.825,-12.2085150834985,1.18463792038545
7.86,-12.4168164724844,1.0911270535091
7.895,-12.6625528174683,0.997234528527498
7.93,-12.9481241368043,0.902811832946293
7.965,-13.2764759515088,0.807692968982595
8,-13.6512123417498,0.711686810089653
8.035,-14.0767475125506,0.614566377811784
8.07,-14.5585112433768,0.516053370023433
8.105,-15.1032311356116,0.415795205269687
8.14,-15.7193263601578,0.313329944970641
8.175,-16.4174662323875,0.208030929411623
8.21,-17.2113763619974,0.0990161452808044
8.245,-18.1190203550316,-0.0150064970787425
8.28,-19.1643474634542,-0.136016466200977
8.315,-20.379847586636,-0.267206534884281
8.35,-21.8100051802632,-0.414047201796341
8.385,-23.5143851702461,-0.586598522586461
8.42,-25.5612187867777,-0.804840565797694
8.455,-27.9602533903279,-1.11056997828528
8.49,-30.3073382617936,-1.57938569249046
8.525,-31.0577137606293,-2.22492624772365
8.56,-29.3777644077823,-2.8070808988191
8.595,-26.924957329809,3.08911192993038
8.63,-24.6988893703025,2.82806657802385
8.665,-22.8404136033082,2.63180241328651
8.7,-21.2966221328745,2.4701984530112
8.735,-20.0010727002245,2.32864908582315
8.77,-18.901447174537,2.19955713813106
8.805,-17.9594252120648,2.07866555638018
8.84,-17.1470604777999,1.9634297452001
8.875,-16.4437040285236,1.8522440572362
8.91,-15.8338399451505,1.74404789756594
8.945,-15.3056214346043,1.63811240134121
8.98,-14.8498820158584,1.53391859479488
9.015,-14.4594607432419,1.43108456168307
9.05,-14.1287359108514,1.32932017322986
9.085,-13.8532993934533,1.22839799954407
9.12,-13.6297279412241,1.12813408767459
9.155,-13.4554230781732,1.02837496410278
9.19,-13.3285010873472,0.928988687831825
9.225,-13.2477210191228,0.829858616674642
